point	pullTeam	recvTeam	event	pullNum	pullCode	recvNum	recvCode	scorTeam
31	pdxST	vanNH	32	88				pdxST
31	pdxST	vanNH	33	24	A			pdxST
31	pdxST	vanNH	34	7	G			pdxST
32	pdxST	vanNH	1	6	P			vanNH
32	pdxST	vanNH	2			91	PU	vanNH
32	pdxST	vanNH	3			5		vanNH
32	pdxST	vanNH	4			91		vanNH
32	pdxST	vanNH	5			22		vanNH
32	pdxST	vanNH	6			21		vanNH
32	pdxST	vanNH	7			31		vanNH
32	pdxST	vanNH	8	3	D			vanNH
32	pdxST	vanNH	9	3				vanNH
32	pdxST	vanNH	10	16				vanNH
32	pdxST	vanNH	11			5	PU	vanNH
32	pdxST	vanNH	12			91		vanNH
32	pdxST	vanNH	13			5		vanNH
32	pdxST	vanNH	14			72		vanNH
32	pdxST	vanNH	15			18		vanNH
32	pdxST	vanNH	16			31		vanNH
32	pdxST	vanNH	17			22		vanNH
32	pdxST	vanNH	18			5		vanNH
32	pdxST	vanNH	19			91		vanNH
32	pdxST	vanNH	20			5		vanNH
32	pdxST	vanNH	21			21		vanNH
32	pdxST	vanNH	22			18		vanNH
32	pdxST	vanNH	23			5	A	vanNH
32	pdxST	vanNH	24			22	G	vanNH
33	vanNH	pdxST	1	8	P			pdxST
33	vanNH	pdxST	2			7	PU	pdxST
33	vanNH	pdxST	3			24		pdxST
33	vanNH	pdxST	4			11		pdxST
33	vanNH	pdxST	5			13		pdxST
33	vanNH	pdxST	6			24		pdxST
33	vanNH	pdxST	7			42	LA	pdxST
33	vanNH	pdxST	8			13	G	pdxST
34	pdxST	vanNH	1	88	P			pdxST
34	pdxST	vanNH	2			5	PU	pdxST
34	pdxST	vanNH	3			91		pdxST
34	pdxST	vanNH	4			89		pdxST
34	pdxST	vanNH	5			91		pdxST
34	pdxST	vanNH	6			89		pdxST
34	pdxST	vanNH	7	21	PU			pdxST
34	pdxST	vanNH	8	88				pdxST
34	pdxST	vanNH	9	17				pdxST
34	pdxST	vanNH	10	21				pdxST
34	pdxST	vanNH	11	5	L			pdxST
34	pdxST	vanNH	12	5	TO			pdxST
34	pdxST	vanNH	13	24	PU			pdxST
34	pdxST	vanNH	14	11	A			pdxST
34	pdxST	vanNH	15	42	G			pdxST
35	pdxST	vanNH	1	6	P			vanNH
35	pdxST	vanNH	2			89	PU	vanNH
35	pdxST	vanNH	3			91		vanNH
35	pdxST	vanNH	4			21		vanNH
35	pdxST	vanNH	5			98	TD	vanNH
35	pdxST	vanNH	6	8	PU			vanNH
35	pdxST	vanNH	7	22				vanNH
35	pdxST	vanNH	8	88				vanNH
35	pdxST	vanNH	9	22				vanNH
35	pdxST	vanNH	10	88	VST			vanNH
35	pdxST	vanNH	11			91	PUA	vanNH
35	pdxST	vanNH	12			75	G	vanNH
35	pdxST	vanNH	13	88	F			vanNH
36	vanNH	pdxST	1	8	P			NA
36	vanNH	pdxST	2			7	PU	NA
36	vanNH	pdxST	3			24		NA
36	vanNH	pdxST	4			7		NA
36	vanNH	pdxST	5			24		NA
36	vanNH	pdxST	6			42		NA
36	vanNH	pdxST	7			16		NA
36	vanNH	pdxST	8			11		NA
36	vanNH	pdxST	9			2		NA
36	vanNH	pdxST	10			42		NA
37	pdxST	vanNH	1	6	P			vanNH
37	pdxST	vanNH	2			89	PU	vanNH
37	pdxST	vanNH	3			91		vanNH
37	pdxST	vanNH	4			89		vanNH
37	pdxST	vanNH	5			22		vanNH
37	pdxST	vanNH	6			21		vanNH
37	pdxST	vanNH	7			22		vanNH
37	pdxST	vanNH	8			89		vanNH
37	pdxST	vanNH	9			22		vanNH
37	pdxST	vanNH	10			5		vanNH
37	pdxST	vanNH	11			91		vanNH
37	pdxST	vanNH	12			98		vanNH
